species	duration	amplitudeDEG	peakVelocity	saccadicSkewness
dog	159	13.46	197.209	25.1572327
dog	41	2.822	139.186	60.97560976
dog	249	28.404	258.645	29.31726908
dog	56	2.786	114.753	41.07142857
dog	73	8.438	315.779	36.98630137
dog	97	12.265	273.195	26.80412371
dog	69	4.917	205.243	36.23188406
dog	80	3.87	187.773	72.5
dog	122	20.039	332.111	29.50819672
dog	55	4.474	197.635	40
dog	110	26.806	406.05	50.90909091
dog	49	3.885	203.59	42.85714286
dog	114	13.966	260.87	42.10526316
dog	76	13.367	368.574	34.21052632
dog	113	24.772	381.484	38.9380531
dog	43	2.95	147.906	41.86046512
dog	45	2.984	169.087	62.22222222
dog	229	11.299	211.428	10.91703057
dog	89	13.527	329.346	30.33707865
dog	136	5.54	105.347	27.94117647
dog	257	12.015	205.739	62.6459144
dog	101	17.264	419.135	31.68316832
dog	61	3.067	131.508	34.42622951
dog	83	5.421	196.923	22.89156627
dog	109	9.402	214.709	25.68807339
dog	152	25.541	706.721	36.18421053
dog	63	3.251	163.486	42.85714286
dog	413	28.73	1448.396	11.62227603
dog	115	24.704	460.727	40
dog	41	3.714	202.605	43.90243902
dog	85	2.849	66.998	27.05882353
dog	143	27.99	327.782	37.06293706
dog	46	4.214	197.133	43.47826087
dog	323	27.21	1432.3	16.40866873
dog	114	26.035	480.186	42.98245614
dog	89	7.833	213.227	23.59550562
dog	87	8.717	252.572	37.93103448
dog	147	7.232	147.57	48.97959184
dog	92	19.661	465.756	42.39130435
dog	50	3.041	135.51	40
dog	63	7.809	262.7	41.26984127
dog	70	11.037	297.015	30
dog	63	2.527	108.411	42.85714286
dog	64	4.186	169.6	40.625
dog	147	16.041	202.345	49.65986395
dog	118	16.384	268.611	42.37288136
dog	121	17.988	519.369	61.98347107
dog	55	4.441	132.487	38.18181818
dog	125	18.568	226.851	20.8
dog	119	18.042	335.566	32.77310924
dog	88	12.984	375.085	36.36363636
dog	102	20.18	364.012	24.50980392
dog	117	22.549	489.085	33.33333333
dog	96	11.629	292.307	45.83333333
dog	97	7.925	129.428	29.89690722
dog	79	7.734	191.102	49.36708861
dog	123	15.029	310.791	86.17886179
dog	98	11.741	238.696	34.69387755
dog	128	17.794	304.642	47.65625
dog	59	9.553	286.292	38.98305085
dog	64	4.406	118.269	46.875
dog	99	14.86	275.525	41.41414141
dog	72	14.7	401.302	41.66666667
dog	165	21.723	211.693	55.15151515
dog	118	16.462	299.12	29.66101695
dog	96	10.516	287.872	50
dog	164	23.258	210.501	31.09756098
dog	86	7.643	174.448	33.72093023
dog	87	9.417	217.154	36.7816092
dog	127	9.787	126.369	53.54330709
dog	76	9.291	247.886	48.68421053
dog	105	20.842	400.546	32.38095238
dog	80	6.261	202.072	30
dog	73	11.103	259.23	42.46575342
dog	242	22.833	496.621	42.14876033
dog	133	7.297	95.12	60.15037594
dog	55	5.909	213.252	43.63636364
dog	59	3.763	105.39	38.98305085
dog	132	14.345	274.114	39.39393939
dog	67	4.738	199.638	35.82089552
dog	57	2.877	107.2	35.0877193
dog	119	7.309	121.862	46.21848739
dog	93	6.655	198.689	37.6344086
dog	99	18.196	397.453	38.38383838
dog	52	4.106	183.908	44.23076923
dog	176	13.72	777.761	17.61363636
dog	59	3.155	115.547	33.89830508
dog	151	15.673	158.414	41.7218543
dog	54	8.953	292.118	40.74074074
dog	70	3.451	116.334	42.85714286
dog	71	4.838	135.46	39.43661972
dog	81	3.068	115.3	37.03703704
dog	84	8.255	182.86	42.85714286
dog	119	3.365	170.766	45.37815126
dog	77	11.196	255.068	46.75324675
dog	54	2.585	86.465	31.48148148
dog	87	11.468	312.673	40.22988506
dog	54	3.696	171.198	35.18518519
dog	120	9.599	159.024	45.83333333
dog	38	3.386	167.44	97.36842105
dog	76	10.198	329.166	28.94736842
dog	72	10.158	277.03	41.66666667
dog	71	4.04	95.213	46.47887324
dog	85	2.843	79.777	28.23529412
dog	76	9.394	309.411	43.42105263
dog	97	7.007	114.63	47.42268041
dog	58	6.138	223.726	55.17241379
dog	74	12.103	287.161	48.64864865
dog	147	16.255	158.041	18.36734694
human	45	10.09	399.236	53.33333333
human	46	3.654	163.858	45.65217391
human	54	5.423	276.021	42.59259259
human	45	3.207	167.428	33.33333333
human	55	7.903	343.068	34.54545455
human	43	3.584	172.363	34.88372093
human	44	2.959	215.149	40.90909091
human	39	2.804	159.973	43.58974359
human	43	3.198	146.898	41.86046512
human	52	2.516	141.484	28.84615385
human	34	2.865	189.092	61.76470588
human	49	3.189	210.4	34.69387755
human	49	4.063	232.16	36.73469388
human	58	8.528	381.609	39.65517241
human	43	3.775	153.607	39.53488372
human	51	3.441	217.445	47.05882353
human	49	2.84	190.856	32.65306122
human	36	2.639	158.461	50
human	42	3.486	163.353	40.47619048
human	36	3.131	186.337	55.55555556
human	56	8.147	350.102	42.85714286
human	34	2.532	148.758	50
human	42	6.373	293.307	52.38095238
human	39	2.639	143.466	56.41025641
human	33	3.269	201.554	54.54545455
